---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.79300625
mean_fail_rate: 0.138075
mean_sloth_rate: 0.06891875
recall_50: 0.7978
recall_90: 0.7084
mean_wall_collisions: 8.5177875
mean_inefficient_turns: 17.5884
mean_inefficient_revisits: 2.4706875
mean_distance_inefficiency: 2.0011098372560996
mean_closure_inefficiency: 1.1510811155927796
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.70525
mean_fail_rate: 0.20490625
mean_sloth_rate: 0.08984375
recall_50: 0.709
recall_90: 0.512
mean_wall_collisions: 11.4703125
mean_inefficient_turns: 24.98828125
mean_inefficient_revisits: 3.64684375
mean_distance_inefficiency: 2.982039203133027
mean_closure_inefficiency: 1.2965413511911024
---------------------------------------------------------------
Maze 51| Su: 0.71875| Fa: 0.28125| Sl: 0.0| WC: 1.625| IT: 3.71875| IR: 0.09375| DI: 1.3888912757060206| CI: 1.2028985507246377
Maze 52| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 2.90625| IT: 9.1875| IR: 1.03125| DI: 1.5180321138076058| CI: 1.0430107526881722
Maze 53| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 4.53125| IT: 6.78125| IR: 0.5625| DI: 1.5372872872872871| CI: 1.0
Maze 54| Su: 0.03125| Fa: 0.03125| Sl: 0.9375| WC: 84.25| IT: 172.40625| IR: 28.59375| DI: 12.657894736842104| CI: 1.0
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.78125| IR: 0.0| DI: 1.3648989898989898| CI: 1.15625
Maze 56| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.5625| IR: 0.0| DI: 1.1778645833333332| CI: 1.1768973214285714
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.0625| IT: 3.46875| IR: 0.0| DI: 1.3199569746376811| CI: 1.078125
Maze 58| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.78125| IT: 1.78125| IR: 0.0625| DI: 1.2030900234025232| CI: 1.1428571428571428
Maze 59| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.65625| IT: 2.34375| IR: 0.0| DI: 1.3928179824561404| CI: 1.1328125
Maze 60| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 0.9375| IR: 0.0| DI: 1.2677951388888888| CI: 1.1015625
Maze 61| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.59375| IT: 5.25| IR: 0.5| DI: nan| CI: nan
Maze 62| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.90625| IR: 0.0| DI: 1.2250228937728938| CI: 1.015625
Maze 63| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.65625| IR: 0.0| DI: 1.3043560606060605| CI: 1.1875
Maze 64| Su: 0.21875| Fa: 0.0| Sl: 0.78125| WC: 70.84375| IT: 136.5| IR: 23.28125| DI: 1.6086080586080587| CI: 1.0
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.59375| IR: 0.0| DI: 1.2025669642857144| CI: 1.1458333333333335
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 0.90625| IR: 0.0| DI: 1.2441603535353536| CI: 1.0859375
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 0.625| IR: 0.0| DI: 1.298511904761905| CI: 1.0625
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.625| IT: 4.09375| IR: 0.09375| DI: 1.3675320512820512| CI: 1.0
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.3125| IR: 0.0| DI: 1.3896949404761905| CI: 1.0625
Maze 70| Su: 0.3125| Fa: 0.6875| Sl: 0.0| WC: 6.09375| IT: 15.5625| IR: 1.75| DI: 2.319384384384384| CI: 1.1333333333333333
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.40625| IT: 3.96875| IR: 0.0625| DI: 1.4126336050724637| CI: 1.015625
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 1.46875| IR: 0.0| DI: 1.2259729853479855| CI: 1.0625
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.875| IR: 0.0| DI: 1.296968005952381| CI: 1.0208333333333335
Maze 74| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.34375| IR: 0.0| DI: 1.324526515151515| CI: 1.1145833333333333
Maze 75| Su: 0.71875| Fa: 0.28125| Sl: 0.0| WC: 5.21875| IT: 10.84375| IR: 0.875| DI: 1.7564048620850865| CI: 1.1304347826086956
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 1.25| IR: 0.0| DI: 1.2058722527472527| CI: 1.0625
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 1.53125| IR: 0.0| DI: 1.21484375| CI: 1.09765625
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.0| IT: 4.8125| IR: 0.21875| DI: 1.4875607295783928| CI: 1.0520833333333333
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.71875| IT: 2.75| IR: 0.0| DI: 1.457873774509804| CI: 1.15625
Maze 80| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 5.0| IT: 10.15625| IR: 0.875| DI: nan| CI: nan
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.90625| IT: 6.28125| IR: 0.4375| DI: 1.5387705813172043| CI: 1.03125
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.5| IR: 0.0| DI: 1.1424107142857143| CI: 1.0906250000000002
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.65625| IT: 2.6875| IR: 0.03125| DI: 1.2919773391812868| CI: 1.125
Maze 84| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.25| IT: 2.15625| IR: 0.03125| DI: nan| CI: nan
