---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.7075125
mean_fail_rate: 0.20130625
mean_sloth_rate: 0.09118125
recall_50: 0.7176
recall_90: 0.5438
mean_wall_collisions: 9.33523125
mean_inefficient_turns: 21.2310625
mean_inefficient_revisits: 4.51469375
mean_distance_inefficiency: 2.2784332222894865
mean_closure_inefficiency: 1.3535254916351944
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.66378125
mean_fail_rate: 0.2265625
mean_sloth_rate: 0.10965625
recall_50: 0.671
recall_90: 0.45
mean_wall_collisions: 11.31653125
mean_inefficient_turns: 26.4275625
mean_inefficient_revisits: 5.34971875
mean_distance_inefficiency: 2.732557747030805
mean_closure_inefficiency: 1.4266674221751052
---------------------------------------------------------------
Maze 74| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.5| IT: 2.0| IR: 0.0625| DI: 1.3643206256109484| CI: 1.2258064516129032
Maze 75| Su: 0.78125| Fa: 0.1875| Sl: 0.03125| WC: 4.03125| IT: 10.46875| IR: 3.125| DI: 1.7501639784946237| CI: 1.16
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.96875| IR: 0.0| DI: 1.283768315018315| CI: 1.2927083333333333
Maze 77| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 1.46875| IT: 3.84375| IR: 2.4375| DI: 1.3567625975121231| CI: 1.3024193548387097
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.375| IT: 7.875| IR: 0.34375| DI: 1.7381783185111987| CI: 1.2291666666666665
Maze 79| Su: 0.65625| Fa: 0.34375| Sl: 0.0| WC: 2.1875| IT: 6.0| IR: 0.28125| DI: 1.9050536881419238| CI: 1.0476190476190477
Maze 80| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.46875| IT: 5.84375| IR: 0.34375| DI: nan| CI: nan
Maze 81| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 4.40625| IT: 13.28125| IR: 0.5| DI: 1.7119647657450074| CI: 1.0
Maze 82| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 0.59375| IT: 13.375| IR: 0.1875| DI: 1.2218125960061443| CI: 1.2096774193548387
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.375| IT: 3.53125| IR: 0.125| DI: 1.407245979532164| CI: 1.1328125
Maze 84| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.34375| IT: 5.09375| IR: 0.15625| DI: nan| CI: nan
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.8125| IT: 5.78125| IR: 0.21875| DI: 1.674921679197995| CI: 1.046875
Maze 86| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 2.625| IT: 8.8125| IR: 2.5625| DI: 1.6944673976375868| CI: 1.1586021505376343
Maze 87| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.53125| IT: 1.0| IR: 0.0| DI: 1.3281490015360984| CI: 1.064516129032258
Maze 88| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.0| IT: 12.28125| IR: 0.78125| DI: 1.7425258317528056| CI: 1.21875
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 7.5625| IR: 0.21875| DI: 2.0496680402930405| CI: 1.0375
Maze 90| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.875| IT: 2.15625| IR: 0.03125| DI: 1.4433792014437177| CI: 1.032258064516129
Maze 91| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 2.84375| IT: 8.21875| IR: 2.90625| DI: 1.8193431510051425| CI: 1.058064516129032
Maze 92| Su: 0.78125| Fa: 0.03125| Sl: 0.1875| WC: 12.78125| IT: 28.125| IR: 10.09375| DI: 1.8522836196520407| CI: 1.12
Maze 93| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.59375| IT: 7.75| IR: 0.03125| DI: 1.5321634615384616| CI: 1.1194196428571428
Maze 94| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 1.1875| IT: 4.5| IR: 0.125| DI: 1.7275030525030526| CI: 1.1666666666666667
Maze 95| Su: 0.90625| Fa: 0.0| Sl: 0.09375| WC: 7.21875| IT: 16.5625| IR: 6.65625| DI: 1.9774340770791075| CI: 1.2482758620689656
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.25| IT: 2.28125| IR: 0.0| DI: 1.3712110805860807| CI: 1.0625
Maze 97| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.3125| IT: 14.8125| IR: 0.875| DI: nan| CI: nan
Maze 98| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 4.59375| IT: 17.59375| IR: 3.6875| DI: 2.843863955119214| CI: 1.070967741935484
Maze 99| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.125| IT: 3.34375| IR: 0.21875| DI: 1.3284729851193453| CI: 1.0241935483870968
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.0| IR: 0.0| DI: 1.2095486111111113| CI: 1.1841517857142856
Maze 101| Su: 0.09375| Fa: 0.53125| Sl: 0.375| WC: 19.15625| IT: 64.8125| IR: 17.875| DI: 4.6761904761904765| CI: 1.3333333333333333
Maze 102| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.5| IT: 2.0| IR: 0.25| DI: 1.264781746031746| CI: 1.0708333333333333
Maze 103| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.375| IT: 3.3125| IR: 0.03125| DI: 1.277690752445311| CI: 1.0806451612903225
Maze 104| Su: 0.0625| Fa: 0.9375| Sl: 0.0| WC: 4.21875| IT: 16.3125| IR: 0.6875| DI: 2.1698717948717947| CI: 2.75
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 3.15625| IR: 0.09375| DI: 1.457532464740282| CI: 1.03125
Maze 106| Su: 0.21875| Fa: 0.75| Sl: 0.03125| WC: 9.28125| IT: 13.84375| IR: 3.28125| DI: 1.5487954074910597| CI: 1.0
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.09375| IR: 0.0| DI: 1.244233630952381| CI: 1.2010416666666668
Maze 108| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 1.34375| IT: 5.84375| IR: 0.125| DI: 1.7361262351280495| CI: 1.1063218390804597
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.03125| IR: 0.03125| DI: 1.3202020202020202| CI: 1.2083333333333333
Maze 110| Su: 0.75| Fa: 0.0| Sl: 0.25| WC: 15.6875| IT: 31.90625| IR: 16.75| DI: 3.145906432748538| CI: 1.6785714285714286
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.1875| IR: 0.0| DI: 1.3204985119047619| CI: 1.3114583333333334
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.15625| IT: 2.21875| IR: 0.09375| DI: 1.4281707875457874| CI: 1.1770833333333335
Maze 113| Su: 0.09375| Fa: 0.84375| Sl: 0.0625| WC: 7.0625| IT: 27.15625| IR: 3.8125| DI: 1.9762920815552396| CI: 1.0
Maze 114| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 6.84375| IT: 12.5| IR: 1.28125| DI: nan| CI: nan
Maze 115| Su: 0.0| Fa: 0.6875| Sl: 0.3125| WC: 35.25| IT: 47.21875| IR: 16.875| DI: nan| CI: nan
Maze 116| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.5625| IT: 4.5625| IR: 0.09375| DI: 1.5294372294372294| CI: 1.1614583333333333
Maze 117| Su: 0.59375| Fa: 0.3125| Sl: 0.09375| WC: 4.8125| IT: 11.65625| IR: 6.65625| DI: 1.6725686009896537| CI: 1.4719298245614036
Maze 118| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 3.25| IT: 11.6875| IR: 2.40625| DI: 2.0135615116149044| CI: 1.120583717357911
Maze 119| Su: 0.0| Fa: 0.90625| Sl: 0.09375| WC: 2.46875| IT: 9.4375| IR: 6.3125| DI: nan| CI: nan
Maze 120| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.34375| IT: 3.75| IR: 0.25| DI: nan| CI: nan
Maze 121| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.96875| IT: 6.0| IR: 1.0| DI: 1.6814474772539287| CI: 1.032258064516129
Maze 122| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.5625| IT: 4.5| IR: 0.25| DI: 1.5054723502304146| CI: 1.2376344086021505
Maze 123| Su: 0.46875| Fa: 0.1875| Sl: 0.34375| WC: 29.9375| IT: 104.0| IR: 15.78125| DI: 2.6371304077186433| CI: 1.119047619047619
Maze 124| Su: 0.375| Fa: 0.25| Sl: 0.375| WC: 49.0625| IT: 113.4375| IR: 22.5| DI: 7.136209469542803| CI: 1.375
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 2.46875| IR: 0.0| DI: 1.231434898520812| CI: 1.0
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.9375| IR: 0.0| DI: 1.2066287878787878| CI: 1.1197916666666665
Maze 127| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 2.03125| IT: 5.65625| IR: 0.03125| DI: 1.2066735466116272| CI: 1.1
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.5| IT: 5.375| IR: 0.21875| DI: 1.8113578216374269| CI: 1.2427083333333333
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.21875| IR: 0.0| DI: 1.2359532828282829| CI: 1.1458333333333335
Maze 130| Su: 0.71875| Fa: 0.15625| Sl: 0.125| WC: 13.375| IT: 27.9375| IR: 9.09375| DI: 2.6902887266044395| CI: 1.0
Maze 131| Su: 0.6875| Fa: 0.1875| Sl: 0.125| WC: 10.90625| IT: 28.65625| IR: 8.5| DI: 3.896439963545227| CI: 1.9545454545454546
Maze 132| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 5.53125| IT: 19.28125| IR: 2.25| DI: 2.372548949250661| CI: 1.0
Maze 133| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 1.09375| IT: 6.71875| IR: 1.96875| DI: 1.5384558823529413| CI: 1.1555555555555554
Maze 134| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.125| IT: 9.25| IR: 0.46875| DI: nan| CI: nan
Maze 135| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 1.9375| IT: 6.15625| IR: 0.53125| DI: 2.9851282051282055| CI: 1.111111111111111
Maze 136| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 3.4375| IT: 8.8125| IR: 2.4375| DI: nan| CI: nan
Maze 137| Su: 0.375| Fa: 0.625| Sl: 0.0| WC: 2.21875| IT: 8.78125| IR: 0.125| DI: 1.8954365079365079| CI: 1.1111111111111112
Maze 138| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 1.15625| IT: 5.0| IR: 0.15625| DI: 1.3634112060778725| CI: 1.1142857142857143
Maze 139| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 3.65625| IR: 0.0| DI: 1.7583333333333333| CI: 1.1458333333333335
Maze 140| Su: 0.46875| Fa: 0.4375| Sl: 0.09375| WC: 10.125| IT: 33.21875| IR: 8.78125| DI: 4.535419411506368| CI: 1.15
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.6875| IR: 0.0| DI: 1.3807291666666668| CI: 1.2630208333333335
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.90625| IR: 0.03125| DI: 1.3351934523809523| CI: 1.0729166666666667
Maze 143| Su: 0.875| Fa: 0.0| Sl: 0.125| WC: 3.4375| IT: 12.1875| IR: 8.0| DI: 1.5676937441643324| CI: 1.0714285714285714
Maze 144| Su: 0.34375| Fa: 0.625| Sl: 0.03125| WC: 8.90625| IT: 16.15625| IR: 1.8125| DI: 3.382900432900433| CI: 1.1818181818181819
Maze 145| Su: 0.75| Fa: 0.1875| Sl: 0.0625| WC: 3.375| IT: 7.96875| IR: 3.96875| DI: 2.1571275946275947| CI: 1.3999999999999997
Maze 146| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.5| IT: 2.71875| IR: 0.0| DI: 1.2849206349206348| CI: 1.019047619047619
Maze 147| Su: 0.03125| Fa: 0.3125| Sl: 0.65625| WC: 67.375| IT: 182.28125| IR: 21.625| DI: 8.465116279069768| CI: 1.0
