---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 63| Su: 0.65625| Fa: 0.0| Sl: 0.34375| WC: 60.6875| IT: 115.40625| IR: 13.8125| DI: 17.777200577200574| CI: 27.023809523809526
Maze 64| Su: 0.0| Fa: 0.09375| Sl: 0.90625| WC: 96.5| IT: 178.71875| IR: 22.9375| DI: nan| CI: nan
Maze 65| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 30.71875| IT: 51.6875| IR: 5.40625| DI: 16.663690476190478| CI: 26.22222222222223
Maze 66| Su: 0.4375| Fa: 0.0| Sl: 0.5625| WC: 72.96875| IT: 132.5| IR: 17.59375| DI: 19.717748917748914| CI: 19.285714285714285
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 19.75| IT: 29.28125| IR: 3.0625| DI: 14.73720238095238| CI: 25.453125
Maze 68| Su: 0.0625| Fa: 0.15625| Sl: 0.78125| WC: 90.78125| IT: 173.78125| IR: 24.125| DI: 13.398461538461538| CI: 10.925
Maze 69| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 27.65625| IT: 47.90625| IR: 5.9375| DI: 15.29294674859191| CI: 25.774193548387096
Maze 70| Su: 0.03125| Fa: 0.3125| Sl: 0.65625| WC: 81.3125| IT: 156.28125| IR: 23.375| DI: 9.228571428571428| CI: 2.6666666666666665
Maze 71| Su: 0.03125| Fa: 0.3125| Sl: 0.65625| WC: 83.625| IT: 154.34375| IR: 22.4375| DI: 15.041666666666666| CI: 29.0
Maze 72| Su: 0.34375| Fa: 0.09375| Sl: 0.5625| WC: 82.03125| IT: 148.5| IR: 18.875| DI: 20.36027306027306| CI: 26.704545454545453
Maze 73| Su: 0.28125| Fa: 0.4375| Sl: 0.28125| WC: 69.46875| IT: 126.75| IR: 18.375| DI: 17.354166666666668| CI: 8.703703703703704
Maze 74| Su: 0.40625| Fa: 0.15625| Sl: 0.4375| WC: 62.96875| IT: 130.125| IR: 17.125| DI: 24.075912975912974| CI: 26.96153846153846
Maze 75| Su: 0.0625| Fa: 0.0625| Sl: 0.875| WC: 96.65625| IT: 179.15625| IR: 26.59375| DI: 11.813440860215053| CI: 26.625
Maze 76| Su: 0.3125| Fa: 0.1875| Sl: 0.5| WC: 76.96875| IT: 141.25| IR: 18.8125| DI: 20.373901098901097| CI: 24.503333333333337
Maze 77| Su: 0.40625| Fa: 0.0| Sl: 0.59375| WC: 83.71875| IT: 155.90625| IR: 19.65625| DI: 18.151960784313726| CI: 19.41346153846154
Maze 78| Su: 0.03125| Fa: 0.0| Sl: 0.96875| WC: 94.59375| IT: 184.34375| IR: 29.71875| DI: 13.956521739130435| CI: 36.0
Maze 79| Su: 0.28125| Fa: 0.5625| Sl: 0.15625| WC: 56.0625| IT: 107.5| IR: 12.65625| DI: 13.19340050835149| CI: 16.061111111111114
Maze 80| Su: 0.03125| Fa: 0.65625| Sl: 0.3125| WC: 62.0| IT: 116.03125| IR: 13.5625| DI: 17.74074074074074| CI: 27.2
Maze 81| Su: 0.03125| Fa: 0.03125| Sl: 0.9375| WC: 100.75| IT: 182.75| IR: 28.28125| DI: 14.1875| CI: 10.0
Maze 82| Su: 0.71875| Fa: 0.15625| Sl: 0.125| WC: 39.0| IT: 82.125| IR: 9.375| DI: 23.40662525879917| CI: 26.952173913043477
Maze 83| Su: 0.125| Fa: 0.0| Sl: 0.875| WC: 98.28125| IT: 174.84375| IR: 24.5| DI: 14.760891812865497| CI: 5.8125
Maze 84| Su: 0.0| Fa: 0.8125| Sl: 0.1875| WC: 54.46875| IT: 93.0625| IR: 12.15625| DI: nan| CI: nan
Maze 85| Su: 0.1875| Fa: 0.21875| Sl: 0.59375| WC: 74.6875| IT: 155.875| IR: 22.0625| DI: 15.791938178780283| CI: 9.527777777777779
Maze 86| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 93.625| IT: 185.78125| IR: 30.90625| DI: nan| CI: nan
Maze 87| Su: 0.46875| Fa: 0.40625| Sl: 0.125| WC: 41.25| IT: 83.75| IR: 9.53125| DI: 31.051587301587297| CI: 47.9
Maze 88| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 102.40625| IT: 186.90625| IR: 25.40625| DI: nan| CI: nan
Maze 89| Su: 0.1875| Fa: 0.5| Sl: 0.3125| WC: 67.375| IT: 132.4375| IR: 17.25| DI: 15.994444444444445| CI: 10.133333333333333
Maze 90| Su: 0.3125| Fa: 0.59375| Sl: 0.09375| WC: 34.6875| IT: 68.40625| IR: 9.75| DI: 11.261363636363637| CI: 7.624999999999998
Maze 91| Su: 0.03125| Fa: 0.3125| Sl: 0.65625| WC: 81.53125| IT: 153.90625| IR: 21.59375| DI: 13.32| CI: 6.25
Maze 92| Su: 0.0| Fa: 0.09375| Sl: 0.90625| WC: 96.78125| IT: 177.34375| IR: 27.75| DI: nan| CI: nan
Maze 93| Su: 0.0| Fa: 0.65625| Sl: 0.34375| WC: 72.375| IT: 127.59375| IR: 16.8125| DI: nan| CI: nan
Maze 94| Su: 0.4375| Fa: 0.0625| Sl: 0.5| WC: 72.96875| IT: 143.84375| IR: 22.6875| DI: 22.38657770800628| CI: 23.226190476190478
Maze 95| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 98.0| IT: 182.71875| IR: 29.0| DI: nan| CI: nan
Maze 96| Su: 0.78125| Fa: 0.0| Sl: 0.21875| WC: 68.71875| IT: 130.71875| IR: 17.59375| DI: 21.783091575091575| CI: 30.64
Maze 97| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 97.78125| IT: 180.09375| IR: 28.65625| DI: nan| CI: nan
Maze 98| Su: 0.0625| Fa: 0.0| Sl: 0.9375| WC: 98.28125| IT: 178.6875| IR: 23.71875| DI: 16.275833333333335| CI: 7.4
Maze 99| Su: 0.1875| Fa: 0.09375| Sl: 0.71875| WC: 88.65625| IT: 166.53125| IR: 22.9375| DI: 17.46732026143791| CI: 17.491666666666667
Maze 100| Su: 0.875| Fa: 0.0| Sl: 0.125| WC: 44.90625| IT: 82.75| IR: 10.0625| DI: 19.464186507936514| CI: 21.479591836734695
Maze 101| Su: 0.09375| Fa: 0.40625| Sl: 0.5| WC: 75.4375| IT: 150.375| IR: 19.40625| DI: 17.41984126984127| CI: 46.0
Maze 102| Su: 0.0| Fa: 0.8125| Sl: 0.1875| WC: 29.96875| IT: 61.28125| IR: 7.78125| DI: nan| CI: nan
Maze 103| Su: 0.03125| Fa: 0.125| Sl: 0.84375| WC: 93.1875| IT: 170.875| IR: 23.3125| DI: 11.090909090909092| CI: 39.5
Maze 104| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 95.84375| IT: 183.3125| IR: 30.40625| DI: nan| CI: nan
Maze 105| Su: 0.1875| Fa: 0.0| Sl: 0.8125| WC: 89.4375| IT: 175.75| IR: 24.75| DI: 21.33923861942438| CI: 25.90833333333333
Maze 106| Su: 0.1875| Fa: 0.0625| Sl: 0.75| WC: 90.6875| IT: 169.40625| IR: 24.21875| DI: 14.88932806324111| CI: 5.622222222222223
Maze 107| Su: 0.6875| Fa: 0.09375| Sl: 0.21875| WC: 51.875| IT: 93.3125| IR: 10.15625| DI: 22.724837662337663| CI: 24.765151515151512
Maze 108| Su: 0.0| Fa: 0.3125| Sl: 0.6875| WC: 82.03125| IT: 170.46875| IR: 21.71875| DI: nan| CI: nan
Maze 109| Su: 0.5| Fa: 0.0| Sl: 0.5| WC: 71.34375| IT: 131.15625| IR: 16.375| DI: 22.30972222222222| CI: 29.114583333333332
Maze 110| Su: 0.09375| Fa: 0.0| Sl: 0.90625| WC: 94.40625| IT: 179.15625| IR: 25.09375| DI: 20.57972709551657| CI: 18.613095238095237
Maze 111| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 33.4375| IT: 59.1875| IR: 8.09375| DI: 19.760317460317463| CI: 22.375555555555557
Maze 112| Su: 0.375| Fa: 0.21875| Sl: 0.40625| WC: 75.90625| IT: 134.46875| IR: 16.34375| DI: 20.61401098901099| CI: 27.055555555555557
Maze 113| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 101.9375| IT: 188.21875| IR: 26.78125| DI: nan| CI: nan
