---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 2.5| IR: 0.0625| DI: 1.4789141414141413| CI: 1.364583333333333
Maze 56| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 1.0625| IT: 4.15625| IR: 0.28125| DI: 2.332777777777778| CI: 1.0994047619047618
Maze 57| Su: 0.625| Fa: 0.375| Sl: 0.0| WC: 2.28125| IT: 6.125| IR: 0.09375| DI: 1.5547355072463769| CI: 1.1
Maze 58| Su: 0.09375| Fa: 0.59375| Sl: 0.3125| WC: 11.8125| IT: 73.28125| IR: 15.65625| DI: 1.4757834757834758| CI: 1.0
Maze 59| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.84375| IT: 5.21875| IR: 0.40625| DI: 1.790670687134503| CI: 1.2109375
Maze 60| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.34375| IR: 0.0| DI: 1.3317832341269842| CI: 1.2109375
Maze 61| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.15625| IT: 4.9375| IR: 0.03125| DI: nan| CI: nan
Maze 62| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.96875| IT: 3.9375| IR: 0.21875| DI: 1.4502354788069074| CI: 1.0892857142857142
Maze 63| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.3125| IT: 3.0625| IR: 0.1875| DI: 1.640435606060606| CI: 1.59375
Maze 64| Su: 0.0| Fa: 0.0625| Sl: 0.9375| WC: 32.375| IT: 198.375| IR: 43.75| DI: nan| CI: nan
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 1.46875| IR: 0.0| DI: 1.462983630952381| CI: 1.4895833333333335
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.8125| IR: 0.15625| DI: 1.4668560606060606| CI: 1.3671875
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.0625| IR: 0.0| DI: 1.40625| CI: 1.03125
Maze 68| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 2.15625| IT: 10.03125| IR: 1.28125| DI: 1.8516410256410256| CI: 1.0
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 2.0| IR: 0.0| DI: 1.5314360119047619| CI: 1.1875
Maze 70| Su: 0.125| Fa: 0.875| Sl: 0.0| WC: 1.5| IT: 4.53125| IR: 0.625| DI: 2.006944444444444| CI: 1.4166666666666665
Maze 71| Su: 0.125| Fa: 0.875| Sl: 0.0| WC: 3.84375| IT: 13.5625| IR: 2.46875| DI: 2.010579710144927| CI: 1.2
Maze 72| Su: 0.84375| Fa: 0.03125| Sl: 0.125| WC: 6.28125| IT: 38.375| IR: 3.125| DI: 2.2825532492199163| CI: 1.162037037037037
Maze 73| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.15625| IT: 4.25| IR: 0.25| DI: nan| CI: nan
Maze 74| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.6875| IT: 4.625| IR: 0.15625| DI: 1.6415534656913968| CI: 1.3908045977011498
