---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99975
mean_fail_rate: 0.00025
mean_sloth_rate: 0.0
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.45396875
mean_inefficient_turns: 1.2418125
mean_inefficient_revisits: 0.016625
mean_distance_inefficiency: 1.2902876496315283
mean_closure_inefficiency: 1.1980275607233268
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99890625
mean_fail_rate: 0.0009375
mean_sloth_rate: 0.00015625
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.55234375
mean_inefficient_turns: 1.85109375
mean_inefficient_revisits: 0.17
mean_distance_inefficiency: 1.447784411805743
mean_closure_inefficiency: 1.2429387501009854
---------------------------------------------------------------
Maze 62| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.0625| IR: 0.0| DI: 1.2330729166666665| CI: 1.2260416666666667
Maze 63| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 2.90625| IR: 0.03125| DI: 1.2877093545751634| CI: 1.1484375
Maze 64| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 1.1875| IR: 0.0| DI: 1.2319128787878788| CI: 1.2265625
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 0.96875| IR: 0.0| DI: 1.1663352272727272| CI: 1.1187500000000001
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.84375| IT: 3.28125| IR: 0.0| DI: 1.3298738766339868| CI: 1.1328125
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 1.6875| IR: 0.0| DI: 1.3859126984126984| CI: 1.15625
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.84375| IR: 0.0| DI: 1.2260416666666667| CI: 1.21875
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.96875| IR: 0.0| DI: 1.3041666666666667| CI: 1.375
Maze 70| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.375| IR: 0.0| DI: 1.2620920745920745| CI: 1.21875
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.0| IR: 0.0| DI: 1.3916666666666666| CI: 1.3463541666666665
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.84375| IR: 0.03125| DI: 1.2553943452380953| CI: 1.2208333333333332
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.9375| IR: 0.0| DI: 1.3093377976190474| CI: 1.2916666666666667
Maze 74| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.875| IR: 0.0| DI: 1.35| CI: 1.3697916666666667
Maze 75| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 1.40625| IR: 0.0| DI: 1.4635416666666667| CI: 1.453125
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.53125| IR: 0.0| DI: 1.2835069444444445| CI: 1.125
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.53125| IR: 0.0| DI: 1.285290404040404| CI: 1.1822916666666665
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.78125| IR: 0.0| DI: 1.2704899267399266| CI: 1.2109375
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.03125| IR: 0.0| DI: 1.2278093434343436| CI: 1.1484375
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.78125| IR: 0.0| DI: 1.1475852272727274| CI: 1.0625
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 2.09375| IR: 0.0| DI: 1.2544806985294117| CI: 1.14375
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.8125| IR: 0.0| DI: 1.3084821428571427| CI: 1.3390625
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.96875| IR: 0.0| DI: 1.2875744047619047| CI: 1.2739583333333333
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.90625| IR: 0.03125| DI: 1.3050309065934067| CI: 1.125
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.25| IR: 0.0| DI: 1.2541666666666667| CI: 1.10625
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.46875| IR: 0.0| DI: 1.119047619047619| CI: 1.1239583333333334
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.03125| IR: 0.0| DI: 1.3575892857142857| CI: 1.3703125
Maze 88| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.09375| IR: 0.0| DI: 1.3171502976190474| CI: 1.328125
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.5625| IR: 0.0| DI: 1.3265625| CI: 1.3229166666666667
Maze 90| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 2.8125| IR: 0.0| DI: 1.2971437478500172| CI: 1.2125
