---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.0| IR: 0.0| DI: 1.3080357142857142| CI: 1.2635416666666666
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.40625| IR: 0.03125| DI: 1.117473672161172| CI: 1.1015625
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.0| IR: 0.03125| DI: 1.2361979166666668| CI: 1.03125
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.84375| IR: 0.0| DI: 1.2533482142857142| CI: 1.290625
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.625| IR: 0.0| DI: 1.2104166666666667| CI: 1.2125
Maze 88| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.5| IR: 0.0| DI: 1.19140625| CI: 1.2052083333333332
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.125| IR: 0.0| DI: 1.1583333333333334| CI: 1.1536458333333335
Maze 90| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 1.34375| IR: 0.0| DI: 1.1699937650498795| CI: 1.09375
Maze 91| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.125| IT: 1.4375| IR: 0.0| DI: 1.2080543154761905| CI: 1.0
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 0.84375| IR: 0.0| DI: 1.258175505050505| CI: 1.1015625
Maze 93| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 1.46875| IR: 0.03125| DI: 1.213189338235294| CI: 1.125
Maze 94| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.40625| IT: 1.75| IR: 0.0625| DI: 1.2390599468954249| CI: 1.0625
