---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.897625
mean_fail_rate: 0.101125
mean_sloth_rate: 0.00125
recall_50: 0.904
recall_90: 0.874
mean_wall_collisions: 0.35246875
mean_inefficient_turns: 2.1521875
mean_inefficient_revisits: 0.04296875
mean_distance_inefficiency: 1.3558034641401537
mean_closure_inefficiency: 1.2609057656605092
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.6390625
mean_fail_rate: 0.35484375
mean_sloth_rate: 0.00609375
recall_50: 0.655
recall_90: 0.545
mean_wall_collisions: 0.635
mean_inefficient_turns: 7.10828125
mean_inefficient_revisits: 0.6171875
mean_distance_inefficiency: 1.810894695912914
mean_closure_inefficiency: 2.0813728923868413
---------------------------------------------------------------
Maze 53| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.1875| IT: 1.0625| IR: 0.0| DI: nan| CI: nan
Maze 54| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.28125| IR: 0.0| DI: 1.095796130952381| CI: 1.0390625
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.125| IR: 0.0| DI: 1.2046417124542124| CI: 1.015625
Maze 56| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 0.3125| IT: 1.03125| IR: 0.0| DI: 1.2542857142857142| CI: 1.0
Maze 57| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.34375| IT: 0.1875| IR: 0.0| DI: 1.0870967741935484| CI: 1.0
Maze 58| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.6875| IT: 4.875| IR: 0.0| DI: nan| CI: nan
Maze 59| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.6875| IT: 2.4375| IR: 0.71875| DI: 1.3678863826232248| CI: 1.3466666666666667
Maze 60| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.5625| IT: 1.6875| IR: 0.0| DI: 1.3232758620689653| CI: 1.282758620689655
Maze 61| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.9375| IR: 0.0| DI: 1.500257554945055| CI: 1.0
Maze 62| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.34375| IR: 0.0| DI: 1.1136532738095237| CI: 1.125
Maze 63| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 0.40625| IT: 1.25| IR: 0.09375| DI: 1.125| CI: 1.0
Maze 64| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.84375| IR: 0.0| DI: 1.2056502525252526| CI: 1.09375
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.28125| IR: 0.0| DI: 1.2577651515151516| CI: 1.275
Maze 66| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.3125| IT: 1.1875| IR: 0.0| DI: nan| CI: nan
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 1.46875| IR: 0.0| DI: 1.4084821428571428| CI: 1.0625
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.1875| IR: 0.0| DI: 1.125| CI: 1.125
Maze 69| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 0.40625| IT: 1.15625| IR: 0.0| DI: 1.5714285714285714| CI: 2.0
Maze 70| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.75| IT: 2.9375| IR: 0.0| DI: 1.50503663003663| CI: 1.9285714285714284
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.28125| IR: 0.0| DI: 1.1197916666666667| CI: 1.0859375
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.84375| IR: 0.0| DI: 1.2341889880952381| CI: 1.203125
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.09375| IR: 0.0| DI: 1.2421875| CI: 1.1666666666666667
Maze 74| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.3125| IR: 0.0| DI: 1.1354166666666665| CI: 1.0520833333333335
Maze 75| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.40625| IR: 0.0| DI: 1.1432291666666665| CI: 1.1380208333333335
Maze 76| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.4375| IT: 2.09375| IR: 0.0| DI: 1.4964157706093189| CI: 1.1290322580645162
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.90625| IR: 0.0| DI: 1.1525568181818182| CI: 1.078125
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.5625| IR: 0.0| DI: 1.2185782967032965| CI: 1.0625
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.71875| IR: 0.0| DI: 1.1297979797979796| CI: 1.03125
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.78125| IR: 0.0| DI: 1.1649147727272728| CI: 1.078125
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.59375| IR: 0.0625| DI: 1.2078967524509805| CI: 1.0194444444444444
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.375| IR: 0.0| DI: 1.1348214285714286| CI: 1.128125
Maze 83| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 0.40625| IT: 34.1875| IR: 0.0| DI: 1.826984126984127| CI: 1.8988888888888886
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 2.4375| IR: 0.03125| DI: 1.3711366758241756| CI: 1.0390625
Maze 85| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.4375| IT: 3.3125| IR: 0.09375| DI: 1.653735632183908| CI: 1.096551724137931
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.4375| IR: 0.0| DI: 1.1910342261904763| CI: 1.171875
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.5| IR: 0.0| DI: 1.431547619047619| CI: 1.484375
Maze 88| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.53125| IR: 0.0| DI: 1.1748511904761905| CI: 1.1635416666666667
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.375| IR: 0.0| DI: 1.1255208333333333| CI: 1.0572916666666667
Maze 90| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.71875| IR: 0.0| DI: 1.2466836515307878| CI: 1.2625000000000002
Maze 91| Su: 0.46875| Fa: 0.53125| Sl: 0.0| WC: 0.75| IT: 28.71875| IR: 0.65625| DI: 4.275079365079365| CI: 6.02962962962963
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.65625| IR: 0.03125| DI: 1.1083648989898989| CI: 1.0703125
Maze 93| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 2.53125| IR: 0.0| DI: 1.3153645833333334| CI: 1.125
Maze 94| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.59375| IT: 1.625| IR: 0.03125| DI: nan| CI: nan
Maze 95| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.9375| IR: 0.03125| DI: 1.614804292929293| CI: 1.140625
Maze 96| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.375| IT: 0.875| IR: 0.0| DI: nan| CI: nan
Maze 97| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 0.53125| IT: 1.40625| IR: 0.0| DI: 1.3238539238539238| CI: 1.3205128205128203
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.53125| IR: 0.0| DI: 1.1369047619047619| CI: 1.1208333333333333
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 1.78125| IR: 0.0| DI: 1.403893849206349| CI: 1.0625
Maze 100| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.75| IT: 1.40625| IR: 0.0| DI: 1.317008797653959| CI: 1.1236559139784945
Maze 101| Su: 0.125| Fa: 0.875| Sl: 0.0| WC: 0.375| IT: 1.125| IR: 0.0| DI: 1.930059523809524| CI: 2.6666666666666665
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.28125| IR: 0.0| DI: 1.078125| CI: 1.0625
Maze 103| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.59375| IR: 0.0| DI: 1.1821056547619047| CI: 1.1739583333333332
Maze 104| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.40625| IR: 0.0| DI: 1.1579861111111112| CI: 1.125
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.25| IR: 0.0| DI: 1.109375| CI: 1.0963541666666667
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.34375| IR: 0.0| DI: 1.1145833333333335| CI: 1.0286458333333335
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.4375| IR: 0.0| DI: 1.1174975198412698| CI: 1.0
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 0.40625| IR: 0.0| DI: 1.1625| CI: 1.03125
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.46875| IR: 0.0| DI: 1.1657738095238095| CI: 1.1859375
Maze 110| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.0625| IT: 1.0| IR: 0.0| DI: 1.2372222222222222| CI: 1.2388888888888887
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.78125| IR: 0.0| DI: 1.1881313131313131| CI: 1.03125
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.4375| IR: 0.0| DI: 1.1380208333333333| CI: 1.0807291666666667
Maze 113| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 0.34375| IT: 0.875| IR: 0.0| DI: 1.3076923076923077| CI: 1.0
Maze 114| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 1.9375| IR: 0.0| DI: 1.3912878787878789| CI: 1.140625
Maze 115| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.78125| IR: 0.0| DI: 1.1235347985347985| CI: 1.0859375
Maze 116| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.25| IT: 1.21875| IR: 0.0| DI: 1.1913978494623654| CI: 1.032258064516129
Maze 117| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.21875| IR: 0.0| DI: 1.0973214285714286| CI: 1.0416666666666667
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.8125| IR: 0.15625| DI: 1.5315656565656566| CI: 1.8046875
Maze 119| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.53125| IT: 3.0625| IR: 0.03125| DI: 1.4176710386387805| CI: 1.032258064516129
Maze 120| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.8125| IR: 0.0| DI: 1.5717261904761903| CI: 1.1625
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 3.21875| IR: 0.03125| DI: 1.4503387237762237| CI: 1.1041666666666667
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 4.34375| IR: 0.0625| DI: 1.4547589869281046| CI: 1.09375
Maze 123| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.1875| IR: 0.0| DI: 1.1244791666666667| CI: 1.0572916666666665
Maze 124| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.375| IT: 1.0625| IR: 0.3125| DI: nan| CI: nan
Maze 125| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 1.5| IT: 6.0625| IR: 3.0625| DI: 1.2266666666666666| CI: 1.1083333333333334
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 1.6875| IR: 0.03125| DI: 1.4254712301587302| CI: 1.140625
Maze 127| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.96875| IR: 0.0| DI: 1.3595643939393938| CI: 1.1354166666666667
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 4.34375| IR: 0.0| DI: 1.496597652218782| CI: 1.0
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.21875| IR: 0.0| DI: 1.0854166666666667| CI: 1.0
Maze 130| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.90625| IT: 3.21875| IR: 0.21875| DI: 1.4363492063492063| CI: 1.9333333333333333
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.0| IR: 0.0| DI: 1.1995287698412698| CI: 1.125
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 2.1875| IR: 0.0| DI: 1.2831954656862745| CI: 1.125
Maze 133| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.375| IR: 0.0| DI: 1.1244419642857142| CI: 1.0
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.8125| IR: 0.0| DI: 1.3660353535353535| CI: 1.390625
Maze 135| Su: 0.0625| Fa: 0.9375| Sl: 0.0| WC: 0.53125| IT: 6.5| IR: 0.09375| DI: 1.3947368421052633| CI: 1.0
Maze 136| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.21875| IT: 1.75| IR: 0.0| DI: 1.3332053251408091| CI: 1.3306451612903225
Maze 137| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.34375| IR: 0.0| DI: 1.14375| CI: 1.1015625
Maze 138| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.125| IT: 0.71875| IR: 0.0| DI: 1.1275601638504864| CI: 1.064516129032258
Maze 139| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.375| IR: 0.0| DI: 1.1630208333333334| CI: 1.1067708333333335
Maze 140| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.625| IR: 0.03125| DI: 1.209375| CI: 1.1796875
Maze 141| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.21875| IT: 0.375| IR: 0.0| DI: 1.1230798771121353| CI: 1.032258064516129
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.59375| IR: 0.0| DI: 1.2372939560439562| CI: 1.0416666666666667
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.1875| IR: 0.0| DI: 1.2828621031746033| CI: 1.125
Maze 144| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.53125| IR: 0.15625| DI: 1.8101190476190478| CI: 1.2593750000000001
Maze 145| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.5625| IR: 0.0| DI: 1.1805555555555554| CI: 1.03125
Maze 146| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.5625| IR: 0.0| DI: 1.259375| CI: 1.3046875
Maze 147| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.46875| IR: 0.0| DI: 1.1000744047619049| CI: 1.0104166666666665
Maze 148| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.1875| IR: 0.0| DI: 1.276388888888889| CI: 1.09375
