---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.997325
mean_fail_rate: 0.00265625
mean_sloth_rate: 1.875e-05
recall_50: 1.0
recall_90: 0.997
mean_wall_collisions: 0.094125
mean_inefficient_turns: 2.4091
mean_inefficient_revisits: 0.24433125
mean_exploitation_inefficiency: 1.7623771703876088
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99725
mean_fail_rate: 0.0026875
mean_sloth_rate: 6.25e-05
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.11125
mean_inefficient_turns: 3.20765625
mean_inefficient_revisits: 0.46803125
mean_exploitation_inefficiency: 2.3000118739348276
---------------------------------------------------------------
Maze 46| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.90625| IR: 0.0625| DI: 2.3515625| EI: nan
Maze 47| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.78125| IR: 0.0| DI: 1.4875| EI: nan
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.9375| IR: 1.0625| DI: 4.754464285714285| EI: 4.16015625
Maze 49| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.875| IR: 0.0| DI: 1.602272727272727| EI: 1.46875
Maze 50| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.9375| IR: 0.09375| DI: 2.6051136363636367| EI: nan
Maze 51| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 2.375| IR: 0.15625| DI: 2.7256944444444446| EI: 2.7256944444444446
Maze 52| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 5.0625| IR: 0.34375| DI: 3.02734375| EI: 1.274671052631579
Maze 53| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 5.6875| IR: 0.4375| DI: 4.528125| EI: 1.7415865384615383
Maze 54| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.15625| IR: 0.125| DI: 3.3303571428571432| EI: nan
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 3.5625| IR: 0.15625| DI: 1.796875| EI: 1.6911764705882353
