---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.951775
mean_fail_rate: 0.044
mean_sloth_rate: 0.004225
recall_50: 0.9988
recall_90: 0.8684
mean_wall_collisions: 0.361025
mean_inefficient_turns: 6.91589375
mean_inefficient_revisits: 2.535225
mean_exploitation_inefficiency: 3.60671633812324
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.94834375
mean_fail_rate: 0.04615625
mean_sloth_rate: 0.0055
recall_50: 0.998
recall_90: 0.849
mean_wall_collisions: 0.3651875
mean_inefficient_turns: 7.11790625
mean_inefficient_revisits: 2.63371875
mean_exploitation_inefficiency: 3.642634703643762
---------------------------------------------------------------
Maze 62| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.40625| IT: 6.96875| IR: 1.875| DI: 4.49090909090909| EI: nan
Maze 63| Su: 0.625| Fa: 0.375| Sl: 0.0| WC: 0.40625| IT: 8.46875| IR: 4.3125| DI: 3.3625| EI: 1.68125
Maze 64| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.15625| IT: 5.1875| IR: 0.84375| DI: 2.9267241379310347| EI: 2.7545638945233266
Maze 65| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.65625| IT: 5.90625| IR: 1.8125| DI: 5.262931034482759| EI: nan
Maze 66| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 7.65625| IR: 1.375| DI: 3.638709677419355| EI: 3.638709677419355
Maze 67| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 1.375| IT: 18.625| IR: 11.46875| DI: 13.825| EI: 13.825
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 12.34375| IR: 4.5| DI: 9.14375| EI: nan
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 5.625| IR: 1.5625| DI: 4.72265625| EI: 1.8890625
Maze 70| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.1875| IT: 6.1875| IR: 1.375| DI: 3.9589442815249263| EI: nan
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 6.0| IR: 0.75| DI: 3.203125| EI: nan
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.125| EI: 1.125
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 6.15625| IR: 1.59375| DI: 5.850694444444445| EI: nan
Maze 74| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.40625| IT: 2.71875| IR: 0.65625| DI: 2.7093596059113305| EI: 2.7093596059113305
Maze 75| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.4375| IT: 12.8125| IR: 6.875| DI: 8.148484848484848| EI: 8.148484848484848
Maze 76| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.34375| IT: 4.34375| IR: 2.03125| DI: 4.980952380952379| EI: 1.3410256410256411
Maze 77| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.28125| IT: 4.375| IR: 0.84375| DI: 4.023809523809523| EI: 1.1266666666666665
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.03125| EI: 1.03125
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 2.96875| IR: 1.3125| DI: 2.75| EI: 2.264705882352941
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.15625| EI: 1.15625
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.1770833333333333| EI: 1.1770833333333333
Maze 82| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.59375| IT: 10.53125| IR: 2.90625| DI: 6.30791788856305| EI: nan
Maze 83| Su: 0.84375| Fa: 0.125| Sl: 0.03125| WC: 0.4375| IT: 9.34375| IR: 5.09375| DI: 8.54814814814815| EI: 8.54814814814815
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.09375| EI: 1.09375
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 1.34375| IR: 0.0625| DI: 2.140625| EI: nan
Maze 86| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.65625| IT: 12.4375| IR: 4.28125| DI: 6.9794721407624625| EI: 6.397849462365592
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.1484375| EI: 1.1484375
Maze 88| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.4375| IT: 8.46875| IR: 2.4375| DI: 6.157088122605365| EI: nan
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 7.625| IR: 1.84375| DI: 4.629807692307692| EI: 4.629807692307692
Maze 90| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.84375| IT: 9.875| IR: 3.90625| DI: 10.124423963133642| EI: nan
Maze 91| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.125| IT: 6.5625| IR: 1.875| DI: 4.263888888888888| EI: 3.9358974358974352
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 3.34375| IR: 0.71875| DI: 3.197916666666667| EI: 1.3082386363636365
Maze 93| Su: 0.84375| Fa: 0.15625| Sl: 0.0| WC: 0.15625| IT: 6.53125| IR: 1.34375| DI: 3.4276094276094278| EI: 1.3964334705075447
Maze 94| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 4.40625| IR: 1.40625| DI: 2.767578125| EI: nan
