---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.97350625
mean_fail_rate: 0.02173125
mean_sloth_rate: 0.0047625
recall_50: 1.0
recall_90: 0.9468
mean_wall_collisions: 0.48566875
mean_inefficient_turns: 4.9695625
mean_inefficient_revisits: 1.35085
mean_exploitation_inefficiency: 2.4085328356398974
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.96971875
mean_fail_rate: 0.0248125
mean_sloth_rate: 0.00546875
recall_50: 1.0
recall_90: 0.94
mean_wall_collisions: 0.5443125
mean_inefficient_turns: 5.51003125
mean_inefficient_revisits: 1.56378125
mean_exploitation_inefficiency: 2.5807042772300295
---------------------------------------------------------------
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 3.125| IR: 0.1875| DI: 2.1205357142857144| EI: 1.7463235294117647
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 5.625| IR: 1.625| DI: 4.653125| EI: nan
Maze 101| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.1875| IT: 3.8125| IR: 0.8125| DI: 1.9032258064516132| EI: 1.4274193548387097
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 5.9375| IR: 1.5625| DI: 4.37109375| EI: 4.37109375
Maze 103| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.53125| IT: 7.03125| IR: 1.65625| DI: 3.27741935483871| EI: 1.6952169076751942
Maze 104| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 2.125| IT: 24.15625| IR: 6.625| DI: 11.5| EI: nan
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.46875| IR: 0.21875| DI: 2.329326923076923| EI: 2.329326923076923
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 3.875| IR: 0.125| DI: 2.9801136363636367| EI: 2.341517857142857
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.9375| IR: 0.09375| DI: 1.80078125| EI: 1.80078125
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 5.1875| IR: 1.125| DI: 3.557291666666666| EI: 1.9403409090909092
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 2.4375| IR: 0.8125| DI: 3.225694444444444| EI: 1.4515625
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 7.4375| IR: 1.09375| DI: 3.13125| EI: 2.7628676470588234
Maze 111| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.59375| IT: 10.0625| IR: 2.21875| DI: 5.480938416422288| EI: nan
Maze 112| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.46875| IT: 6.8125| IR: 2.5| DI: 4.82991202346041| EI: nan
Maze 113| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 2.0| IR: 0.625| DI: 3.03515625| EI: 3.03515625
Maze 114| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 1.625| IT: 10.625| IR: 4.625| DI: 5.091111111111113| EI: 4.242592592592593
Maze 115| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 3.25| IR: 1.5625| DI: 6.375| EI: nan
Maze 116| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 2.53125| IR: 0.0625| DI: 2.294270833333333| EI: 2.294270833333333
Maze 117| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.9375| IT: 11.71875| IR: 3.96875| DI: 7.26| EI: nan
Maze 118| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.65625| IT: 12.34375| IR: 3.75| DI: 5.299539170506912| EI: nan
Maze 119| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.25| IT: 3.75| IR: 1.0| DI: 2.4700460829493087| EI: 2.4700460829493087
Maze 120| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 4.78125| IR: 1.5625| DI: 4.553125| EI: 4.139204545454545
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 4.03125| IR: 0.59375| DI: 2.7788461538461537| EI: 1.2456896551724137
Maze 122| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 3.4375| IR: 0.0625| DI: 2.454326923076923| EI: 2.279017857142857
Maze 123| Su: 0.875| Fa: 0.0625| Sl: 0.0625| WC: 1.6875| IT: 13.96875| IR: 5.40625| DI: 5.921428571428572| EI: nan
Maze 124| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.375| IT: 2.5| IR: 0.90625| DI: 3.776041666666667| EI: 2.517361111111111
Maze 125| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.6875| IR: 0.875| DI: 2.2562499999999996| EI: 1.78125
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.03125| DI: 2.1428571428571432| EI: 1.5
Maze 127| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 1.78125| IT: 18.25| IR: 5.375| DI: 6.494444444444444| EI: nan
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 2.78125| IR: 0.15625| DI: 2.7109375| EI: 1.4786931818181817
Maze 129| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.03125| IT: 3.46875| IR: 0.21875| DI: 2.3923076923076922| EI: 2.3923076923076922
Maze 130| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.59375| IT: 3.46875| IR: 0.59375| DI: 2.0766129032258065| EI: 1.9544592030360528
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.375| IR: 0.875| DI: 3.8046875| EI: nan
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.4375| IR: 0.65625| DI: 2.4140625| EI: nan
Maze 133| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.53125| IT: 6.125| IR: 2.28125| DI: 6.153061224489797| EI: 6.153061224489797
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.78125| IR: 0.71875| DI: 2.68359375| EI: 2.5257352941176467
Maze 135| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 4.0| IR: 1.03125| DI: 2.65625| EI: 1.328125
Maze 136| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.46875| IT: 2.875| IR: 0.3125| DI: 2.866666666666667| EI: 2.58
Maze 137| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.46875| IT: 4.78125| IR: 0.9375| DI: 4.061290322580645| EI: 4.061290322580645
Maze 138| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 2.40625| IR: 0.6875| DI: 3.46875| EI: 2.522727272727273
Maze 139| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0625| IT: 1.40625| IR: 0.21875| DI: 2.1000000000000005| EI: 1.9090909090909092
Maze 140| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 1.9375| IR: 0.125| DI: 2.4281249999999996| EI: nan
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.21875| IR: 0.0| DI: 1.18125| EI: 1.18125
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 9.34375| IR: 2.25| DI: 5.0546875| EI: nan
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 7.28125| IR: 2.0| DI: 6.673611111111111| EI: nan
Maze 144| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.09375| IT: 2.5| IR: 0.21875| DI: 2.2873900293255134| EI: 1.7972350230414746
Maze 145| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.1875| IR: 0.0| DI: 1.359375| EI: 1.359375
Maze 146| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.28125| IT: 13.96875| IR: 4.3125| DI: 13.236559139784946| EI: 3.054590570719603
Maze 147| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 3.25| IR: 0.0625| DI: 2.060096153846154| EI: 1.9129464285714286
Maze 148| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.53125| IR: 0.34375| DI: 2.5703125| EI: 2.5703125
Maze 149| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 3.25| IR: 0.4375| DI: 3.5546875| EI: 1.5798611111111112
Maze 150| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.25| IT: 1.59375| IR: 0.125| DI: 2.164874551971326| EI: nan
