---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.978909375
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.967546875
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Maze 343| Su: 0.96875
Maze 344| Su: 1.0
Maze 345| Su: 1.0
Maze 346| Su: 0.96875
Maze 347| Su: 1.0
Maze 348| Su: 0.96875
Maze 349| Su: 0.96875
Maze 350| Su: 0.96875
Maze 351| Su: 1.0
Maze 352| Su: 0.96875
Maze 353| Su: 0.96875
Maze 354| Su: 0.96875
Maze 355| Su: 0.9375
Maze 356| Su: 1.0
Maze 357| Su: 1.0
Maze 358| Su: 0.96875
Maze 359| Su: 1.0
Maze 360| Su: 0.96875
Maze 361| Su: 1.0
Maze 362| Su: 1.0
Maze 363| Su: 1.0
Maze 364| Su: 0.96875
Maze 365| Su: 1.0
Maze 366| Su: 1.0
Maze 367| Su: 1.0
Maze 368| Su: 1.0
Maze 369| Su: 1.0
Maze 370| Su: 0.84375
Maze 371| Su: 0.96875
Maze 372| Su: 1.0
Maze 373| Su: 0.96875
Maze 374| Su: 1.0
Maze 375| Su: 0.96875
Maze 376| Su: 0.96875
Maze 377| Su: 1.0
Maze 378| Su: 0.96875
Maze 379| Su: 1.0
Maze 380| Su: 0.96875
Maze 381| Su: 1.0
Maze 382| Su: 1.0
Maze 383| Su: 1.0
Maze 384| Su: 1.0
Maze 385| Su: 0.96875
Maze 386| Su: 1.0
Maze 387| Su: 0.96875
Maze 388| Su: 1.0
Maze 389| Su: 0.9375
Maze 390| Su: 1.0
Maze 391| Su: 0.9375
Maze 392| Su: 1.0
Maze 393| Su: 1.0
Maze 394| Su: 1.0
Maze 395| Su: 1.0
Maze 396| Su: 1.0
Maze 397| Su: 1.0
Maze 398| Su: 1.0
Maze 399| Su: 1.0
Maze 400| Su: 0.96875
Maze 401| Su: 0.96875
Maze 402| Su: 0.96875
Maze 403| Su: 0.9375
Maze 404| Su: 1.0
Maze 405| Su: 1.0
Maze 406| Su: 1.0
Maze 407| Su: 1.0
Maze 408| Su: 1.0
Maze 409| Su: 1.0
Maze 410| Su: 1.0
Maze 411| Su: 1.0
Maze 412| Su: 1.0
Maze 413| Su: 1.0
Maze 414| Su: 0.9375
Maze 415| Su: 0.96875
Maze 416| Su: 1.0
Maze 417| Su: 1.0
Maze 418| Su: 1.0
Maze 419| Su: 1.0
Maze 420| Su: 1.0
Maze 421| Su: 1.0
Maze 422| Su: 0.90625
Maze 423| Su: 1.0
Maze 424| Su: 1.0
Maze 425| Su: 1.0
Maze 426| Su: 1.0
Maze 427| Su: 1.0
Maze 428| Su: 1.0
Maze 429| Su: 0.5625
Maze 430| Su: 1.0
Maze 431| Su: 1.0
Maze 432| Su: 0.9375
Maze 433| Su: 1.0
Maze 434| Su: 1.0
Maze 435| Su: 1.0
Maze 436| Su: 0.90625
Maze 437| Su: 1.0
Maze 438| Su: 0.96875
Maze 439| Su: 1.0
Maze 440| Su: 1.0
Maze 441| Su: 1.0
Maze 442| Su: 1.0
Maze 443| Su: 0.9375
Maze 444| Su: 0.96875
Maze 445| Su: 1.0
Maze 446| Su: 0.96875
Maze 447| Su: 1.0
Maze 448| Su: 1.0
Maze 449| Su: 0.96875
Maze 450| Su: 1.0
Maze 451| Su: 1.0
Maze 452| Su: 1.0
Maze 453| Su: 1.0
Maze 454| Su: 1.0
Maze 455| Su: 0.96875
Maze 456| Su: 0.96875
Maze 457| Su: 1.0
Maze 458| Su: 1.0
Maze 459| Su: 1.0
Maze 460| Su: 0.84375
Maze 461| Su: 0.96875
Maze 462| Su: 1.0
Maze 463| Su: 1.0
Maze 464| Su: 0.9375
Maze 465| Su: 1.0
Maze 466| Su: 1.0
Maze 467| Su: 1.0
Maze 468| Su: 0.96875
Maze 469| Su: 1.0
Maze 470| Su: 1.0
Maze 471| Su: 1.0
Maze 472| Su: 1.0
Maze 473| Su: 1.0
Maze 474| Su: 1.0
Maze 475| Su: 0.96875
Maze 476| Su: 0.96875
Maze 477| Su: 1.0
Maze 478| Su: 1.0
Maze 479| Su: 1.0
Maze 480| Su: 1.0
Maze 481| Su: 1.0
Maze 482| Su: 0.96875
Maze 483| Su: 0.96875
Maze 484| Su: 1.0
Maze 485| Su: 0.96875
Maze 486| Su: 1.0
Maze 487| Su: 1.0
Maze 488| Su: 1.0
Maze 489| Su: 1.0
Maze 490| Su: 0.9375
Maze 491| Su: 1.0
Maze 492| Su: 1.0
Maze 493| Su: 0.96875
Maze 494| Su: 1.0
Maze 495| Su: 0.96875
Maze 496| Su: 1.0
Maze 497| Su: 1.0
Maze 498| Su: 1.0
Maze 499| Su: 1.0
Maze 500| Su: 1.0
Maze 501| Su: 1.0
Maze 502| Su: 0.96875
Maze 503| Su: 0.875
Maze 504| Su: 0.96875
Maze 505| Su: 0.96875
Maze 506| Su: 0.96875
Maze 507| Su: 0.8125
Maze 508| Su: 1.0
Maze 509| Su: 1.0
Maze 510| Su: 0.96875
Maze 511| Su: 0.96875
Maze 512| Su: 0.96875
Maze 513| Su: 1.0
Maze 514| Su: 0.96875
Maze 515| Su: 0.96875
Maze 516| Su: 1.0
Maze 517| Su: 0.96875
Maze 518| Su: 1.0
Maze 519| Su: 1.0
Maze 520| Su: 0.9375
Maze 521| Su: 1.0
Maze 522| Su: 1.0
Maze 523| Su: 1.0
Maze 524| Su: 1.0
Maze 525| Su: 0.96875
Maze 526| Su: 1.0
Maze 527| Su: 1.0
Maze 528| Su: 1.0
Maze 529| Su: 1.0
Maze 530| Su: 0.90625
Maze 531| Su: 1.0
Maze 532| Su: 0.96875
Maze 533| Su: 1.0
Maze 534| Su: 1.0
Maze 535| Su: 1.0
Maze 536| Su: 1.0
Maze 537| Su: 1.0
Maze 538| Su: 1.0
Maze 539| Su: 1.0
Maze 540| Su: 1.0
Maze 541| Su: 1.0
Maze 542| Su: 1.0
Maze 543| Su: 0.9375
Maze 544| Su: 1.0
Maze 545| Su: 0.90625
Maze 546| Su: 1.0
Maze 547| Su: 0.9375
Maze 548| Su: 1.0
Maze 549| Su: 1.0
Maze 550| Su: 0.96875
Maze 551| Su: 1.0
Maze 552| Su: 0.96875
Maze 553| Su: 0.96875
Maze 554| Su: 1.0
Maze 555| Su: 0.9375
Maze 556| Su: 1.0
Maze 557| Su: 0.96875
Maze 558| Su: 0.96875
Maze 559| Su: 1.0
Maze 560| Su: 0.96875
Maze 561| Su: 0.90625
Maze 562| Su: 1.0
Maze 563| Su: 1.0
Maze 564| Su: 0.96875
Maze 565| Su: 0.9375
Maze 566| Su: 1.0
Maze 567| Su: 0.96875
Maze 568| Su: 1.0
Maze 569| Su: 1.0
Maze 570| Su: 1.0
Maze 571| Su: 0.9375
Maze 572| Su: 1.0
Maze 573| Su: 1.0
Maze 574| Su: 1.0
Maze 575| Su: 1.0
Maze 576| Su: 1.0
Maze 577| Su: 1.0
Maze 578| Su: 1.0
Maze 579| Su: 0.96875
Maze 580| Su: 1.0
Maze 581| Su: 1.0
Maze 582| Su: 0.9375
Maze 583| Su: 1.0
Maze 584| Su: 0.96875
Maze 585| Su: 1.0
Maze 586| Su: 1.0
Maze 587| Su: 1.0
Maze 588| Su: 1.0
Maze 589| Su: 0.96875
Maze 590| Su: 1.0
Maze 591| Su: 0.96875
Maze 592| Su: 0.96875
Maze 593| Su: 1.0
Maze 594| Su: 1.0
Maze 595| Su: 1.0
Maze 596| Su: 1.0
Maze 597| Su: 0.9375
Maze 598| Su: 0.96875
Maze 599| Su: 0.9375
Maze 600| Su: 1.0
Maze 601| Su: 1.0
Maze 602| Su: 0.8125
Maze 603| Su: 1.0
Maze 604| Su: 1.0
Maze 605| Su: 1.0
Maze 606| Su: 1.0
Maze 607| Su: 0.90625
Maze 608| Su: 1.0
Maze 609| Su: 0.96875
Maze 610| Su: 1.0
Maze 611| Su: 0.96875
Maze 612| Su: 1.0
Maze 613| Su: 1.0
Maze 614| Su: 1.0
Maze 615| Su: 1.0
Maze 616| Su: 1.0
Maze 617| Su: 0.96875
Maze 618| Su: 0.96875
Maze 619| Su: 1.0
Maze 620| Su: 0.96875
Maze 621| Su: 0.96875
Maze 622| Su: 1.0
Maze 623| Su: 1.0
Maze 624| Su: 0.96875
Maze 625| Su: 0.96875
Maze 626| Su: 1.0
Maze 627| Su: 0.96875
Maze 628| Su: 1.0
Maze 629| Su: 1.0
Maze 630| Su: 0.9375
Maze 631| Su: 0.96875
Maze 632| Su: 1.0
Maze 633| Su: 0.96875
Maze 634| Su: 1.0
Maze 635| Su: 1.0
Maze 636| Su: 1.0
Maze 637| Su: 1.0
Maze 638| Su: 1.0
Maze 639| Su: 1.0
Maze 640| Su: 1.0
Maze 641| Su: 1.0
Maze 642| Su: 0.96875
Maze 643| Su: 1.0
Maze 644| Su: 1.0
Maze 645| Su: 1.0
Maze 646| Su: 1.0
Maze 647| Su: 1.0
Maze 648| Su: 1.0
Maze 649| Su: 1.0
Maze 650| Su: 1.0
Maze 651| Su: 1.0
Maze 652| Su: 0.96875
Maze 653| Su: 0.875
Maze 654| Su: 1.0
Maze 655| Su: 1.0
Maze 656| Su: 1.0
Maze 657| Su: 1.0
Maze 658| Su: 1.0
Maze 659| Su: 1.0
Maze 660| Su: 1.0
Maze 661| Su: 0.96875
Maze 662| Su: 1.0
Maze 663| Su: 1.0
Maze 664| Su: 1.0
Maze 665| Su: 1.0
Maze 666| Su: 1.0
Maze 667| Su: 1.0
Maze 668| Su: 1.0
Maze 669| Su: 1.0
Maze 670| Su: 0.96875
Maze 671| Su: 1.0
Maze 672| Su: 1.0
Maze 673| Su: 1.0
Maze 674| Su: 1.0
Maze 675| Su: 1.0
Maze 676| Su: 1.0
Maze 677| Su: 1.0
Maze 678| Su: 1.0
Maze 679| Su: 1.0
Maze 680| Su: 1.0
Maze 681| Su: 1.0
Maze 682| Su: 0.96875
Maze 683| Su: 1.0
Maze 684| Su: 1.0
Maze 685| Su: 1.0
Maze 686| Su: 1.0
Maze 687| Su: 0.9375
Maze 688| Su: 1.0
Maze 689| Su: 1.0
Maze 690| Su: 1.0
Maze 691| Su: 1.0
Maze 692| Su: 1.0
Maze 693| Su: 0.96875
Maze 694| Su: 0.8125
Maze 695| Su: 1.0
Maze 696| Su: 0.96875
Maze 697| Su: 1.0
Maze 698| Su: 1.0
Maze 699| Su: 1.0
Maze 700| Su: 1.0
Maze 701| Su: 1.0
Maze 702| Su: 1.0
Maze 703| Su: 1.0
Maze 704| Su: 1.0
Maze 705| Su: 1.0
Maze 706| Su: 1.0
Maze 707| Su: 1.0
Maze 708| Su: 1.0
Maze 709| Su: 1.0
Maze 710| Su: 1.0
Maze 711| Su: 1.0
Maze 712| Su: 1.0
Maze 713| Su: 1.0
Maze 714| Su: 0.9375
Maze 715| Su: 1.0
Maze 716| Su: 1.0
Maze 717| Su: 1.0
Maze 718| Su: 1.0
Maze 719| Su: 1.0
Maze 720| Su: 1.0
Maze 721| Su: 0.9375
Maze 722| Su: 1.0
Maze 723| Su: 0.9375
Maze 724| Su: 1.0
Maze 725| Su: 1.0
Maze 726| Su: 1.0
Maze 727| Su: 1.0
Maze 728| Su: 1.0
Maze 729| Su: 1.0
Maze 730| Su: 1.0
Maze 731| Su: 0.9375
Maze 732| Su: 1.0
Maze 733| Su: 1.0
Maze 734| Su: 1.0
Maze 735| Su: 1.0
Maze 736| Su: 1.0
Maze 737| Su: 1.0
Maze 738| Su: 0.96875
Maze 739| Su: 0.84375
Maze 740| Su: 0.8125
Maze 741| Su: 1.0
Maze 742| Su: 0.90625
Maze 743| Su: 1.0
Maze 744| Su: 1.0
Maze 745| Su: 1.0
Maze 746| Su: 0.96875
Maze 747| Su: 0.9375
Maze 748| Su: 0.84375
Maze 749| Su: 1.0
Maze 750| Su: 1.0
Maze 751| Su: 1.0
Maze 752| Su: 1.0
Maze 753| Su: 1.0
Maze 754| Su: 0.96875
Maze 755| Su: 1.0
Maze 756| Su: 1.0
Maze 757| Su: 0.90625
Maze 758| Su: 1.0
Maze 759| Su: 1.0
Maze 760| Su: 1.0
Maze 761| Su: 1.0
Maze 762| Su: 0.96875
Maze 763| Su: 1.0
Maze 764| Su: 1.0
Maze 765| Su: 1.0
Maze 766| Su: 0.9375
Maze 767| Su: 0.90625
Maze 768| Su: 1.0
Maze 769| Su: 0.96875
Maze 770| Su: 0.96875
Maze 771| Su: 1.0
Maze 772| Su: 1.0
Maze 773| Su: 1.0
Maze 774| Su: 1.0
Maze 775| Su: 1.0
Maze 776| Su: 1.0
Maze 777| Su: 1.0
Maze 778| Su: 1.0
Maze 779| Su: 1.0
Maze 780| Su: 0.875
Maze 781| Su: 1.0
Maze 782| Su: 1.0
Maze 783| Su: 0.96875
Maze 784| Su: 1.0
Maze 785| Su: 1.0
Maze 786| Su: 1.0
Maze 787| Su: 1.0
Maze 788| Su: 1.0
Maze 789| Su: 1.0
Maze 790| Su: 0.875
Maze 791| Su: 0.96875
Maze 792| Su: 0.96875
Maze 793| Su: 1.0
Maze 794| Su: 0.9375
Maze 795| Su: 1.0
Maze 796| Su: 0.96875
Maze 797| Su: 0.96875
Maze 798| Su: 0.9375
Maze 799| Su: 1.0
Maze 800| Su: 1.0
Maze 801| Su: 1.0
Maze 802| Su: 0.96875
Maze 803| Su: 1.0
Maze 804| Su: 0.90625
Maze 805| Su: 1.0
Maze 806| Su: 1.0
Maze 807| Su: 0.96875
Maze 808| Su: 0.96875
Maze 809| Su: 1.0
Maze 810| Su: 1.0
Maze 811| Su: 1.0
Maze 812| Su: 1.0
Maze 813| Su: 0.875
Maze 814| Su: 0.90625
Maze 815| Su: 0.96875
Maze 816| Su: 1.0
Maze 817| Su: 1.0
Maze 818| Su: 0.90625
Maze 819| Su: 1.0
Maze 820| Su: 0.9375
Maze 821| Su: 1.0
Maze 822| Su: 1.0
Maze 823| Su: 0.96875
Maze 824| Su: 1.0
Maze 825| Su: 1.0
Maze 826| Su: 1.0
Maze 827| Su: 1.0
Maze 828| Su: 1.0
Maze 829| Su: 0.96875
Maze 830| Su: 0.9375
Maze 831| Su: 0.90625
Maze 832| Su: 1.0
Maze 833| Su: 1.0
Maze 834| Su: 1.0
Maze 835| Su: 1.0
Maze 836| Su: 1.0
Maze 837| Su: 0.96875
Maze 838| Su: 1.0
Maze 839| Su: 1.0
Maze 840| Su: 1.0
Maze 841| Su: 1.0
Maze 842| Su: 0.90625
Maze 843| Su: 1.0
Maze 844| Su: 0.96875
Maze 845| Su: 1.0
Maze 846| Su: 1.0
Maze 847| Su: 1.0
Maze 848| Su: 1.0
Maze 849| Su: 1.0
Maze 850| Su: 1.0
Maze 851| Su: 0.96875
Maze 852| Su: 1.0
Maze 853| Su: 0.96875
Maze 854| Su: 1.0
Maze 855| Su: 1.0
